# CANDIDATI E LISTE ELETTORALI
#C; Codice Candidato; Nome; Cognome; Data di Nascita (Formato: gg/mm/aaaa o NULL)
#L; Codice Lista; Nome

# ESEMPIO
#C; ABC00; Nome1; Cognome1; 01/01/1970
#C; ABC01; Nome2; Cognome2; NULL
#C; CF314; Pi; Greco; 14/03/1970
#L; Nome Lista Elettorale
#------------------------------------------------------
C;C21L1;Novak;Djokovic;01/01/1970
C;C22L1;Rafa;Nadal;07/04/1970
C;C23L1;Carlos;Alcaraz;14/03/1970
L;21;Lista Electoral 1
C;C21L2;Hubert;Hurkacz;01/01/1970
C;C22L2;Andrei;Rublev;07/04/1970
C;C23L2;Stefanos;Tsisipas;14/03/1970
L;22;Lista Electoral 2
C;C21L3;Felix;Auger-Aliassiame;01/01/1970
C;C22L3;Alexander;Zverev;07/04/1970
C;C23L3;Bad;Bunny;14/03/1970
L;23;Lista Electoral 3
